appendix_stage,artifact,local_path,exists_locally,size_bytes,sha256,exclusion_reason
Data splits,Train/validation/test split manifest,metadata/labeling_splits_420_90_90.csv,yes,37753,6970a8b1bd0c21cc5566cdcfc25805b33ec8e94a1f5a38aca420e23220eafa04,row-level family identifiers and split membership; not redistributed
Data splits,Labeled-family exclusion manifest,metadata/exclude_families_labeled_600.csv,yes,5987,48f76ebc66b82ff08532cf4834223a25a68d2ec2fe91abab01df77fd7cafd981,row-level family identifiers; not redistributed
Data splits,Annotation split manuscript table,paper/tables/annotation_split_summary.tex,yes,965,656e7566991ecf4c0ddb32d3f5c449263186fad1d9a12f64c343e63d8e5428c9,manuscript artifact excluded by scope
First-stage model comparison,BERT base validation predictions,metadata/bert_base_uncased_predictions_val_2026-01-28.csv,yes,8381,a08fa23038e24640f98660e6d51d72f97753b5e1d81c6c54adf4979a62752549,row-level model predictions; not redistributed
First-stage model comparison,BERT base test predictions,metadata/bert_base_uncased_predictions_test_2026-01-28.csv,yes,8463,7bc74661b6f3dc31ccc1cd7a78b61ee7db665a4f04a40879cc6c76e2c133db6d,row-level model predictions; not redistributed
First-stage model comparison,BERT for patents validation predictions,metadata/bert_for_patents_predictions_val_2026-01-29_safe.csv,yes,8229,e20478f9747a7e1610b0736a8d08bedef74d3f985d4b1d5477af4d3c05c6eddc,row-level model predictions; not redistributed
First-stage model comparison,BERT for patents test predictions,metadata/bert_for_patents_predictions_test_2026-01-29_safe.csv,yes,8311,e64bf5789c52457ed1b8604722c92bef134c332b876a152b8eab11b6855dd072,row-level model predictions; not redistributed
First-stage model comparison,PaECTER validation predictions,metadata/paecter_predictions_val_2026-01-29_rerun.csv,yes,8235,56fdd02124cba45e089f43a9c88122d6fa288c5851d104a8fdb698105e3a8c35,row-level model predictions; not redistributed
First-stage model comparison,PaECTER test predictions,metadata/paecter_predictions_test_2026-01-29_rerun.csv,yes,8319,e59c0e1a7950117da4d98ac058342ba5c7f3016583810d838d45857d34931e2b,row-level model predictions; not redistributed
First-stage model comparison,Model comparison manuscript table,paper/tables/model_comparison_summary.tex,yes,1328,737310e0441f8067a8d5739ffabc766151be56cd95927f2a256033b24ecfc824,manuscript artifact excluded by scope
First-stage model comparison,Precision-recall curve manuscript figure,paper/figures/pr_curve_stage1.pdf,yes,132463,8150eb1f33296b85964732e8ade6ff567743cbfc6e778d2adf59264f5f3da107,manuscript artifact excluded by scope
External recall validation,Positive-only prediction rows,metadata/gold_test_pinto_2026-03-03_pos_only_predictions.csv,yes,6651,5e6c5d8d42f8376ad404fe6d7147c9f9201a6c2879a060b0b6f3f834b89e6b2f,row-level external validation predictions; not redistributed
External recall validation,Positive-only source parquet,metadata/gold_test_pinto_2026-03-03_positives_only.parquet,yes,156442,46ffacf59fe81e41f937082801a70b3200d33f476603f349a055c18d48540f4a,row-level external validation data; not redistributed
External recall validation,Positive-only reproducibility parquet,metadata/gold_test_pinto_2026-03-03_reproducibility.parquet,yes,292875,a471b1fdfe77027e09353dfa1630e9bb08fc498592c0586a547a948a532167e8,row-level external validation data; not redistributed
External recall validation,Gold-test manuscript table,paper/tables/gold_test_pinto_summary.tex,yes,873,155690f2b019ab1d0a46bbe643b00dbfcda712a1296269f8f2ba5fe7a6d431be,manuscript artifact excluded by scope
Second-stage subtype classifier,BERT base subtype validation predictions,metadata/variety_technology_bert_base_uncased_predictions_val_2026-01-30.csv,yes,3367,6f0a707eab9237fcd93e32ec0e5cefeaa3508e87929e157a6658cd76370db9d7,row-level model predictions; not redistributed
Second-stage subtype classifier,BERT base subtype test predictions,metadata/variety_technology_bert_base_uncased_predictions_test_2026-01-30.csv,yes,3517,6c6019841fd1be9f35d6af7fff0d353fa7ca75642c0849c62412d4c05fc660c8,row-level model predictions; not redistributed
Second-stage subtype classifier,BERT for patents subtype validation predictions,metadata/variety_technology_bert_for_patents_predictions_val_2026-01-30.csv,yes,3404,43df7fe25d66db57c4987f8223aa50c205b7011a5d923558c76b672cfcacafb1,row-level model predictions; not redistributed
Second-stage subtype classifier,BERT for patents subtype test predictions,metadata/variety_technology_bert_for_patents_predictions_test_2026-01-30.csv,yes,3542,939d8d547ee8dfc2117533edd0635f2b683ab7362e813865eac14a48422cd4d0,row-level model predictions; not redistributed
Second-stage subtype classifier,PaECTER subtype validation predictions,metadata/variety_technology_paecter_predictions_val_2026-01-30.csv,yes,3449,3499ed59f5f96df9c8d5d488f15abcf768597f8a7f693c25a47a2f1e50c2c518,row-level model predictions; not redistributed
Second-stage subtype classifier,PaECTER subtype test predictions,metadata/variety_technology_paecter_predictions_test_2026-01-30.csv,yes,3579,a4e9fc40da5ad5c754ca61c80e863ea64ebaa3a55e31c2b2d1457905149b5135,row-level model predictions; not redistributed
Second-stage subtype classifier,Subtype comparison manuscript table,paper/tables/variety_tech_comparison.tex,yes,1617,b046150f80cf191e962df8eb1df493783cac12e95b6009fb8ce483b86ebf2ae3,manuscript artifact excluded by scope
Second-stage subtype classifier,Full-corpus first-stage scored parquet,data/derived/family_modeling_corpus_en_complete__paecter_precision_seed2026-01-29__FULL.parquet,yes,10992746,43e6f20fcea1cb919e9c7f83f3e1d46f17f1e7a2945622551816a971db447979,row-level model scores and family identifiers; not redistributed
Second-stage subtype classifier,Full-corpus scored parquet with subtype,data/derived/family_modeling_corpus_en_complete__paecter_precision_seed2026-01-29__FULL__with_subtype.parquet,yes,7113710,6d4f1f4be8f23c5d1c93e0460e38e6ce96dd191e7ae5212325af20eff73059c9,row-level model scores and family identifiers; not redistributed
Second-stage subtype classifier,Plant-positive subtype scored parquet,data/derived/family_modeling_corpus_en_complete__paecter_precision_seed2026-01-29__plant_yes__variety_technology_paecter_2026-02-23__FULL.parquet,yes,8723256,e437192a72c4a819cde94b50f6a3d8e54ec56c978c7d2636852feeba1dbb951a,row-level model scores and family identifiers; not redistributed
Second-stage subtype classifier,Plant-positive subtype score parquet,data/derived/family_modeling_corpus_en_complete__plant_yes__variety_technology_scores_paecter_seed2026-01-30.parquet,yes,7364164,690575d09fa599104eb81d453dc29dbec39d180dd6bd98803ea25e7654a42d7b,row-level model scores and family identifiers; not redistributed
Descriptive corpus analysis,Section 4 manuscript source,paper/sections/04_corpus_analysis.tex,yes,31386,0a0dbf33b9a5cda290a23ec094f15b6dd80e4409d7a1d63a45171659cdd60235,manuscript source excluded by scope
Descriptive corpus analysis,Corpus overview manuscript table,paper/tables/corpus_overview.tex,yes,1246,cfbffd6e4344ea9e0a94e84ffd414136cdf6e4f45f945a37e313d81f46355736,manuscript artifact excluded by scope
Descriptive corpus analysis,Classifier uplift manuscript table,paper/tables/classifier_uplift_cpc.tex,yes,2975,a53f4b787a92ef4f9bfddfdac787979b5de4f02d4f5dce9e73ff269cc07ecde6,manuscript artifact excluded by scope
Descriptive corpus analysis,Top applicants manuscript table,paper/tables/top_applicants_harmonized.tex,yes,1944,3021aa94fd8f1049c92e5012e2fc8b792ed5087046df10a2a87a128cdcb553b5,manuscript artifact excluded by scope
Descriptive corpus analysis,Geographic specialization manuscript table,paper/tables/geographic_specialization.tex,yes,1515,6845ac76fbd489c4e38e5f3f49e177725b170d4af32a57fffa37e87a21e29264,manuscript artifact excluded by scope
Descriptive corpus analysis,Growth counts manuscript figure,paper/figures/growth_trends_counts.pdf,yes,98758,ad98fec09eff09df90da502f2d05171c4dd29cf78e2f432c5f4441c83feee864,manuscript artifact excluded by scope
Descriptive corpus analysis,Indexed growth manuscript figure,paper/figures/growth_trends_indexed.pdf,yes,68837,60d88169f1ac4feaa69c7b9174586a31624dd145ee71497b5a9a6323d89fd597,manuscript artifact excluded by scope
Descriptive corpus analysis,Subtype geography manuscript figure,paper/figures/geography_by_subtype.pdf,yes,69155,f86c34b61393910cd0e3f6ff540594704145826ea80b50cf93b694839b129ade,manuscript artifact excluded by scope
Descriptive corpus analysis,Top applicants subtype manuscript figure,paper/figures/top_applicants_subtype.pdf,yes,34182,18ce093e34836a25d33aedfa147a50a2a6c1140540f898e49d630570b5ed63b1,manuscript artifact excluded by scope
Descriptive corpus analysis,Internationalization manuscript figure,paper/figures/internationalization.pdf,yes,103836,595da3869f7311475d10f117d5f8588fb396ec6dd9a9282f70d57910202c0c3e,manuscript artifact excluded by scope
Descriptive corpus analysis,Applicant harmonization appendix source,paper/sections/07_applicant_harmonization_appendix.tex,yes,554,e1788f1d7ed7438117ce0a127dd2eb20dfe70ff5c10ced7cc9c7d4265688533a,manuscript appendix source excluded by scope
